variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S4[100,1]",4.6154374999999995e-21,3.5103525e-18,4.6928199999999997e-17,4.1411e-16,8.77166975e-15,0.9997147144296936,5639.858589491727,5598.330855850859,2000,0,2000,S4
"S4[101,1]",2.16825275e-15,1.42434e-12,1.410015e-11,8.25753e-11,7.294214499999941e-10,1.0016402712391999,5058.075209202224,5335.121359579512,2001,0,2001,S4
"S4[102,1]",5.6754465e-16,2.60018e-13,2.3066e-12,1.2760975e-11,1.2021929999999967e-10,1.0003465001219092,5533.032488276967,5312.035504227674,2002,0,2002,S4
"S4[103,1]",2.0658679999999998e-14,3.15827e-12,1.60202e-11,5.11326e-11,2.392445749999995e-10,0.999809264630556,5607.679878704162,5510.81015447056,2003,0,2003,S4
"S4[104,1]",1.2302705e-12,1.0485375e-10,3.934405e-10,1.02629e-9,3.6108919999999937e-9,1.000356572033834,5347.437241769794,5314.635748807561,2004,0,2004,S4
"S4[105,1]",1.77390975e-13,3.89628e-11,2.17864e-10,7.677642500000001e-10,4.272591999999986e-9,0.9999612753463326,5485.359792152677,5126.907170713343,2005,0,2005,S4
"S4[106,1]",2.476532e-13,3.84671e-11,2.07475e-10,6.2964475e-10,2.560416749999993e-9,1.0019456396933744,5257.026355825467,5026.136575348667,2006,0,2006,S4
"S4[107,1]",7.730649e-15,3.859032500000001e-12,3.41051e-11,1.6593575e-10,1.345176249999995e-9,0.9996393124664114,5767.588610588779,5559.802839423379,2007,0,2007,S4
"S4[108,1]",9.6289515e-22,7.9826049999999995e-19,1.265685e-17,1.4068125e-16,4.949972249999993e-15,0.9999015892639312,5374.351331257228,5235.48441041344,2008,0,2008,S4
"S4[109,1]",1.4948242499999994e-11,8.848289999999999e-10,3.05861e-9,7.596732500000001e-9,2.939999749999999e-8,1.0002256514062178,5369.593445898993,5154.568899718565,2009,0,2009,S4
"S4[110,1]",9.533418749999996e-14,3.9048625000000005e-11,3.104435e-10,1.6277975e-9,1.4028667499999912e-8,1.0003340928173772,5645.132247016489,5387.531696894397,2010,0,2010,S4
"S4[111,1]",9.49236125e-11,7.0670075000000004e-9,2.15741e-8,4.4379e-8,1.216438999999999e-7,1.000004842497681,5252.979274519451,5236.3415362664755,2011,0,2011,S4
"S4[112,1]",3.178942249999999e-16,1.80683e-13,1.932135e-12,1.3126725e-11,1.3029267499999945e-10,1.0002815079010206,5503.74510032169,5178.878344425535,2012,0,2012,S4
"S4[113,1]",4.7079125e-12,1.14627e-9,6.81543e-9,2.3925499999999998e-8,1.0909099999999998e-7,0.9995637880020132,5488.905873739532,5329.583077748423,2013,0,2013,S4
"S4[114,1]",3.5457335e-13,9.1856625e-11,6.4369e-10,2.63364e-9,1.4174882499999972e-8,0.9997323703742057,5231.954133198747,5335.7240688775255,2014,0,2014,S4
"S4[99,2]",1.2865287499999999e-12,8.563169999999999e-11,5.2934e-10,2.2106075e-9,1.9690632499999998e-8,1.0009157096164956,5850.905341318381,5359.211627153611,1999,1,2000,S4
"S4[100,2]",1.2203662499999997e-13,7.3746025e-12,3.85018e-11,1.5353925e-10,1.1077472499999981e-9,1.0015459353606733,4905.616826769336,5449.417613591703,2000,1,2001,S4
"S4[101,2]",6.5682909999999994e-12,1.2982925e-10,4.132555e-10,1.186365e-9,5.7386922499999905e-9,1.0020265480547628,5449.351257766557,5281.395360011272,2001,1,2002,S4
"S4[102,2]",8.42763825e-12,1.31541e-10,3.85217e-10,9.427995000000001e-10,3.9098507499999995e-9,1.0009455798509534,5598.567190212704,5511.47851442119,2002,1,2003,S4
"S4[103,2]",1.375937e-10,1.5167775e-9,3.585335e-9,6.9864274999999994e-9,1.8063514999999996e-8,1.000288668250464,5362.561641321219,5390.8082898051825,2003,1,2004,S4
"S4[104,2]",3.931405749999999e-9,1.874515e-8,3.3263100000000004e-8,5.7034225e-8,1.3285867499999992e-7,1.0003706308713616,5644.930525646403,5407.282997669209,2004,1,2005,S4
"S4[105,2]",4.46469e-10,4.8706525e-9,1.138655e-8,2.0934150000000002e-8,5.0649332499999994e-8,1.0012300754218402,5346.538919472627,5477.154561674976,2005,1,2006,S4
"S4[106,2]",2.7544772499999996e-10,3.1094525000000002e-9,7.751795e-9,1.605505e-8,4.5955212499999934e-8,1.000485159499602,5350.528068023133,5208.726260091248,2006,1,2007,S4
"S4[107,2]",8.235671500000001e-13,2.52435e-11,9.65133e-11,2.976265e-10,1.8205299999999958e-9,0.9998013792067754,5516.461673927448,5397.494611386755,2007,1,2008,S4
"S4[108,2]",6.791084499999999e-11,1.1571325e-9,3.59007e-9,8.677269999999999e-9,3.3080002499999965e-8,1.0000869586038048,5404.840524476185,5116.934848007368,2008,1,2009,S4
"S4[109,2]",4.043271e-9,4.0418575000000006e-8,9.425995e-8,1.8159424999999999e-7,4.764623e-7,0.9999899986478532,5387.0008516400585,5176.755271707403,2009,1,2010,S4
"S4[110,2]",7.61504325e-9,8.36995e-8,2.0015099999999998e-7,3.779535e-7,1.0684719999999988e-6,1.000331853453609,5346.893626314338,5089.007418265588,2010,1,2011,S4
"S4[111,2]",1.8901965e-9,2.0624075e-8,4.7194700000000004e-8,8.783425e-8,2.1075909999999998e-7,1.0000133210855677,5154.0196871620965,5459.332855831843,2011,1,2012,S4
"S4[112,2]",4.5731215e-10,8.08518e-9,2.3612050000000003e-8,5.7925075e-8,2.0255739999999958e-7,0.9996458334084476,5361.940593869238,5278.137251618619,2012,1,2013,S4
"S4[113,2]",8.71532525e-9,7.741855e-8,1.60788e-7,2.8796874999999997e-7,6.996271999999998e-7,0.9999786862080484,5331.716783723255,5206.153855097287,2013,1,2014,S4
"S4[98,3]",1.0227412500000001e-9,1.53539e-8,4.3282000000000003e-8,9.844675e-8,3.244017e-7,1.0006860575358671,5672.022153954794,5338.5305990386305,1998,2,2000,S4
"S4[99,3]",2.0541375e-10,2.795075e-9,7.936714999999999e-9,1.949475e-8,7.917986999999992e-8,1.0000791931820963,5832.730524125114,5351.576705065314,1999,2,2001,S4
"S4[100,3]",2.04698075e-11,2.3417e-10,6.32017e-10,1.5997925e-9,7.14648775e-9,1.0020920029111426,5462.1199120625515,5222.716415645129,2000,2,2002,S4
"S4[101,3]",2.4924265e-10,1.80425e-9,3.989565e-9,8.12949e-9,2.4574717499999908e-8,1.0018074598604396,5425.825820084327,5335.706556850888,2001,2,2003,S4
"S4[102,3]",1.01429e-9,6.45889e-9,1.334085e-8,2.50567e-8,6.350275499999993e-8,1.000279155638188,5262.343992287504,5511.047444115833,2002,2,2004,S4
"S4[103,3]",1.813497e-8,6.74186e-8,1.061645e-7,1.62857e-7,3.179965999999994e-7,1.0001736558657788,5674.768486721283,5531.458492234957,2003,2,2005,S4
"S4[104,3]",2.61002375e-8,8.36069e-8,1.31742e-7,2.0015225e-7,4.0063852499999954e-7,1.0011310681211116,5599.046575932365,5390.672368695307,2004,2,2006,S4
"S4[105,3]",1.1943644999999999e-8,5.984412499999999e-8,1.051165e-7,1.6553475e-7,3.4108784999999987e-7,1.0003200009298439,5314.257431117177,5351.307623334238,2005,2,2007,S4
"S4[106,3]",5.58549625e-10,3.9549925e-9,9.013974999999999e-9,1.81544e-8,5.060696249999992e-8,1.0005058961072848,5404.585162690534,5430.573953449711,2006,2,2008,S4
