state,Year,Age,severe,numcase
27,2004,10,Mild,54
27,2004,11,Mild,40
27,2004,12,Mild,54
27,2004,12,Severe,1
27,2004,13,Mild,75
27,2004,14,Mild,103
27,2004,14,Severe,2
27,2004,15,Mild,91
27,2004,16,Mild,105
27,2004,17,Mild,117
27,2004,17,Severe,1
27,2004,18,Mild,98
27,2004,19,Mild,107
27,2004,19,Severe,1
27,2004,20,Mild,104
27,2004,21,Mild,126
27,2004,22,Mild,148
27,2004,22,Severe,1
27,2004,23,Mild,106
27,2004,23,Severe,1
27,2004,24,Mild,109
27,2004,24,Severe,2
27,2004,25,Mild,94
27,2004,26,Mild,101
27,2004,26,Severe,1
27,2004,27,Mild,86
27,2004,28,Mild,105
27,2004,28,Severe,2
27,2004,29,Mild,83
27,2004,29,Severe,1
27,2004,30,Mild,89
27,2004,30,Severe,1
27,2004,31,Mild,92
27,2004,32,Mild,79
27,2004,32,Severe,1
27,2004,33,Mild,98
27,2004,33,Severe,1
27,2004,34,Mild,85
27,2004,34,Severe,2
27,2004,35,Mild,86
27,2004,36,Mild,70
27,2004,36,Severe,1
27,2004,37,Mild,64
27,2004,37,Severe,1
27,2004,38,Mild,72
27,2004,38,Severe,2
27,2004,39,Mild,83
27,2004,40,Mild,81
27,2004,41,Mild,68
27,2004,42,Mild,60
27,2004,43,Mild,61
27,2004,44,Mild,77
27,2004,45,Mild,53
27,2004,46,Mild,49
27,2004,47,Mild,48
27,2004,47,Severe,1
27,2004,48,Mild,48
27,2004,49,Mild,50
27,2004,50,Mild,39
27,2004,51,Mild,35
27,2004,52,Mild,47
27,2004,52,Severe,1
27,2004,53,Mild,42
27,2004,54,Mild,30
27,2004,55,Mild,46
27,2004,56,Mild,30
27,2004,57,Mild,22
27,2004,57,Severe,1
27,2004,58,Mild,28
27,2004,59,Mild,27
27,2004,60,Mild,24
27,2004,60,Severe,1
27,2004,61,Mild,23
27,2004,62,Mild,19
27,2004,63,Mild,15
27,2004,64,Mild,21
27,2004,65,Mild,19
27,2004,66,Mild,12
27,2004,67,Mild,11
27,2004,68,Mild,5
27,2004,69,Mild,8
27,2004,70,Mild,11
27,2004,71,Mild,11
27,2004,72,Mild,3
27,2004,73,Mild,6
27,2004,73,Severe,1
27,2004,74,Mild,7
27,2004,75,Mild,5
27,2004,76,Mild,4
27,2004,77,Mild,2
27,2004,78,Mild,9
27,2004,79,Mild,2
27,2004,81,Mild,2
27,2004,82,Mild,3
27,2004,85,Mild,2
27,2004,86,Mild,1
27,2004,87,Mild,1
27,2004,90,Mild,1
27,2004,91,Mild,1
27,2004,92,Mild,2
27,2004,93,Mild,1
27,2005,1,Mild,1
27,2005,2,Mild,6
27,2005,3,Mild,18
27,2005,4,Mild,12
27,2005,5,Mild,21
27,2005,6,Mild,16
27,2005,7,Mild,26
27,2005,8,Mild,26
27,2005,9,Mild,40
27,2005,10,Mild,38
27,2005,11,Mild,31
27,2005,12,Mild,32
27,2005,12,Severe,1
27,2005,13,Mild,44
27,2005,14,Mild,56
27,2005,15,Mild,46
27,2005,16,Mild,46
27,2005,17,Mild,56
27,2005,18,Mild,59
27,2005,19,Mild,68
27,2005,20,Mild,54
27,2005,21,Mild,53
27,2005,22,Mild,77
27,2005,23,Mild,76
27,2005,23,Severe,1
27,2005,24,Mild,70
27,2005,25,Mild,63
27,2005,26,Mild,63
27,2005,27,Mild,74
27,2005,27,Severe,1
27,2005,28,Mild,58
27,2005,28,Severe,1
27,2005,29,Mild,51
27,2005,29,Severe,1
27,2005,30,Mild,43
27,2005,31,Mild,51
27,2005,31,Severe,1
27,2005,32,Mild,48
27,2005,33,Mild,44
27,2005,33,Severe,1
27,2005,34,Mild,57
27,2005,34,Severe,2
27,2005,35,Mild,35
27,2005,36,Mild,50
27,2005,36,Severe,1
27,2005,37,Mild,53
27,2005,37,Severe,2
27,2005,38,Mild,33
27,2005,39,Mild,40
27,2005,40,Mild,43
27,2005,40,Severe,1
27,2005,41,Mild,41
27,2005,42,Mild,28
27,2005,43,Mild,25
27,2005,43,Severe,1
27,2005,44,Mild,35
27,2005,44,Severe,1
27,2005,45,Mild,26
27,2005,45,Severe,1
27,2005,46,Mild,24
27,2005,47,Mild,22
27,2005,48,Mild,36
27,2005,48,Severe,1
27,2005,49,Mild,21
27,2005,50,Mild,19
27,2005,50,Severe,1
27,2005,51,Mild,13
27,2005,52,Mild,19
27,2005,53,Mild,19
27,2005,54,Mild,25
27,2005,55,Mild,19
27,2005,56,Mild,15
27,2005,57,Mild,12
27,2005,58,Mild,15
27,2005,59,Mild,15
27,2005,59,Severe,1
27,2005,60,Mild,14
27,2005,61,Mild,17
27,2005,62,Mild,14
27,2005,63,Mild,19
27,2005,63,Severe,1
27,2005,64,Mild,10
27,2005,65,Mild,8
27,2005,66,Mild,10
27,2005,67,Mild,9
27,2005,68,Mild,5
27,2005,69,Mild,6
27,2005,70,Mild,7
27,2005,71,Mild,1
27,2005,72,Mild,10
27,2005,73,Mild,2
27,2005,74,Mild,6
27,2005,75,Mild,4
27,2005,76,Mild,3
27,2005,77,Mild,2
27,2005,78,Mild,2
27,2005,81,Mild,1
27,2005,82,Mild,1
27,2005,87,Mild,1
27,2005,95,Mild,1
27,2006,2,Mild,10
27,2006,3,Mild,20
27,2006,3,Severe,1
27,2006,4,Mild,12
27,2006,5,Mild,19
27,2006,6,Mild,29
27,2006,7,Mild,27
27,2006,7,Severe,1
27,2006,8,Mild,42
27,2006,9,Mild,33
27,2006,10,Mild,54
27,2006,10,Severe,1
27,2006,11,Mild,52
27,2006,12,Mild,52
27,2006,12,Severe,1
27,2006,13,Mild,49
27,2006,14,Mild,52
27,2006,14,Severe,3
27,2006,15,Mild,51
27,2006,15,Severe,1
27,2006,16,Mild,65
27,2006,16,Severe,2
27,2006,17,Mild,68
27,2006,17,Severe,1
27,2006,18,Mild,62
27,2006,18,Severe,2
27,2006,19,Mild,66
27,2006,20,Mild,84
27,2006,21,Mild,95
27,2006,21,Severe,1
27,2006,22,Mild,82
27,2006,23,Mild,78
27,2006,23,Severe,1
27,2006,24,Mild,87
27,2006,24,Severe,3
27,2006,25,Mild,73
27,2006,25,Severe,2
27,2006,26,Mild,74
27,2006,26,Severe,1
27,2006,27,Mild,83
27,2006,28,Mild,75
27,2006,28,Severe,2
27,2006,29,Mild,74
27,2006,30,Mild,64
27,2006,30,Severe,1
27,2006,31,Mild,77
27,2006,31,Severe,2
27,2006,32,Mild,52
27,2006,32,Severe,1
27,2006,33,Mild,57
27,2006,34,Mild,61
27,2006,35,Mild,57
27,2006,36,Mild,41
27,2006,37,Mild,46
