"foi_prior_lbounds","foi_prior_ubounds"
0.05201681799,0.27861533
0.16678929,0.675567
0.0395979058,0.3315748
0.10918137,0.461858
0.020868626,0.30066669
0.00287219371,0.04902741
0.0266786551,0.30878364
0.019984607,0.22592226
0.032521486,0.461192902
0.0078412379,0.11723649337
0.005120569,0.3945183
0.0019934561,0.08809923
0.002415362,0.101500215
0.0096245816,0.089179311
0.006402826,0.06248846
0.0121877703,0.1004809027
0.0065032981,0.0500209331
0.01399890496,0.06980082
0.034766506,0.15391
0.015546371,0.1406476
0.0033668808,0.04491004
0.0159182613,0.07582414
0.0020468508,0.01205484
0.012417123,0.1328957
0.0052045614,0.05151982
0.0039347849,0.13926575
0.00483856037,0.101069418
0.00366244249,0.11915263
0.017925,0.164098781
0.02208763,0.1947043
0.0056909001,0.12817186
0.01205294,0.2830364
0.076005685,0.28870472
0.057426849,0.2957507
0.05447736232,0.25489432
0.002236547,0.01337576
0.0076389968,0.0611525651
0.037041913,0.2279322244
0.03803369,0.2558496
0.0042329061,0.03330406
0.0130977564,0.4140642
0.0006558004,0.0404331437
0.0021180622,0.0749528
0.0120898804,0.10776425
0.0091243647,0.0760147629
0.010361828,0.067426771
0.036654796,0.209471
0.023113118,0.11431055
0.042139258,0.1841313
0.004014633,0.016730973
0.0217093797,0.07571597707
0.01618754957,0.0716700145
0.0151205029,0.069704293
0.017333693,0.12140767
0.015674331,0.10761339
0.0036129482,0.1647869
0.00023568038,0.001963472
0.0270492536,0.11195157529
0.028165829,0.0913806
0.0127239564,0.0405576225
0.028467085,0.07746277
0.02389726,0.0735762448
0.013761427,0.050692459
0.0136821624,0.0475034415
0.012266692,0.05244227
0.021825002,0.085391748
0.0360103089,0.126528207
0.006928438547,0.0240504239
0.004390698,0.0130664392
0.05582336838,0.159672971
0.0098571711,0.14720900692
0.015468117,0.149304645
0.004114797,0.047830158
0.0158155293,0.08305837
0.0188435968,0.07972513
0.0092238806,0.06231970596
0.01372019,0.10737612
0.017190443,0.0681815416
0.0142203897,0.056900491
0.02175458,0.07598582
0.024090451,0.078096539
0.0122710715,0.0485117146
0.02611394589,0.08188091
0.0061157034,0.030063611
0.02472172,0.101023825
0.0080475414,0.1681715
0.0108712604,0.034154009
0.165711233,0.3697189571
0.19756193,0.393061923
0.00776448309,0.0215803996
0.039421497,0.21763424874
0.0980281349,0.3343058
0.0060425887722,0.0490730086
0.02906499,0.17325343
0.0535822297,0.25171016
0.002829291,0.0136489364
0.0079694392,0.03908972
0.045521045,0.199961243
0.04037734645,0.31514882
0.033587338,0.2791366857
0.2884297344,1.266851
0.002096063827,0.0080252923
0.031545239042,0.12189471494
0.01515830343865,0.063570154
0.009780225,0.045031259
0.0091020402,0.04916578
0.015376586,0.084683058341
0.024299455,0.069687826
0.039054449,0.11179453
3.6071721e-05,0.0080708223
0.008680277,0.1015504
0.0661139516,0.2472848604
0.068462799,0.28895654
0.01978486,0.067416306
0.126931168,0.47862231
0.0717212241,0.4417903447
0.00432007237,0.0664159071
0.006114932,0.09768867
0.0097073695,0.075653484
0.01674513,0.094158148
0.001295341,0.02012598
0.010604434,0.1180685425
0.0012243832,0.007873434
0.0232082744,0.12607672584
0.018693385,0.14765582
0.0274476962,0.138465116
0.028274216,0.155828534
0.021417963,0.12625391
0.003072934,0.01354001
0.04435353,0.152659538
0.0198717217,0.1924509
0.0008888416,0.01286704
0.0008019402,0.0101799
0.001631666,0.01232113
0.00059694788221,0.00546844
0.000495612929,0.00934469
0.0009312188,0.01116454
0.0009704582,0.0085196
0.0012182143,0.01186577
0.0001315927,0.01153327
0.0005957932,0.01078692
0.001257212,0.01366935
0.00091309397,0.011952058
0.00059311724,0.005613774
0.0016712624,0.01338975
0.00060816809,0.00980034
0.00062878971,0.01361043
0.0006829814,0.01250876
0.0009997553,0.01575637
0.00024075411,0.0068280122
0.00033692165,0.01211116
0.000639735331,0.01317849
0.0003316223023,0.008030935
0.00079432327,0.014188909
0.0001837804,0.01181852
0.0003280308,0.010562747
0.001512845,0.01557341
0.0005631795,0.005585284
0.0003606596,0.007155491
0.001057911,0.0164301
0.00033774633,0.01390465
0.007865942,0.06514901
0.009373269,0.09119375954
0.035302668,0.13809839
0.019035802,0.072204362
0.0038151817,0.0370148279
0.0098107048,0.08314086
0.022704183,0.06874597
0.019858044,0.06036554
0.007578549,0.11398705
0.017780771,0.085085182
0.04724098747,0.14354984
0.0062161212,0.019038205
0.007851769,0.024567031
0.039829259,0.107955021
0.005251877,0.2087989
0.0006863854,0.03226876404
0.0068336234,0.14759816
0.0214803432,0.177644145
0.00945851449,0.09917938
0.0033912968,0.0458070906
0.01216378437,0.18653725
0.0304637295,0.17167792
0.0469040407,0.2324742
2.409578e-05,0.0092008235
0.0434495788,0.27265422
0.034942669,0.19225055
0.004349513,0.0284187771
0.062264577,0.2883479
0.05773083,0.2906066
0.009553767,0.3308485
0.002605360341,0.033485368
0.00608233904,0.083926928
0.015100362,0.0854586
