"V1","V2","V3","V4","V5","V6"
0.650516522749162,0.349483477250838,0.0583390855719257,0.0674586787567969,0.00718336843921869,0.00952649115629376
0.705446727178015,0.294553272821985,0.102145834553892,0.118109167991402,0.0123171243402208,0.0156232655012287
0.628473052212363,0.371526947787637,0.0816260041374081,0.0974382036955084,0.0134013919090289,0.0168927528900076
0.484652053818357,0.515347946181643,0.0111092262303905,0.0136325065876959,0.00179627036089604,0.0024333088691352
0.556312192781561,0.443687807218439,0.0558528795429437,0.0718973677161634,0.0131999162377487,0.0170702300898241
0.46888120533293,0.53111879466707,0.021668070002958,0.0284364648419283,0.00510187940428905,0.00682362751158963
0.635727533051425,0.364272466948575,0.0561981798423106,0.0301647166724922,0.0200962561739219,0.0116776373842984
0.385441292771123,0.614558707228877,0.0173285913309712,0.0235986165545531,0.00261209581894898,0.00433404473991365
0.27315667451827,0.72684332548173,0.0190796331611032,0.0238712683937874,0.00260962170057409,0.00398960398656562
0.734785737994125,0.265214262005875,0.0177288039578731,0.0196258707681577,0.00216542596876287,0.00327605211370315
0.474745941663851,0.525254058336149,0.0176024195508876,0.0164561283953877,0.0027913372928833,0.00176291760053731
0.87643924390913,0.12356075609087,0.0298040860159296,0.0356638191705778,0.00427170629187611,0.00515956475152467
0.870357804230024,0.129642195769976,0.0300277625924799,0.0349068490435276,0.00452674106280267,0.00529098930173267
0.400175975787386,0.599824024212614,0.0244201386036606,0.0280688485747881,0.00352602199564383,0.00392029671762566
0.999257733369838,0.000742266630161649,0.0473088335435708,0.069604984450893,0.00650298462064496,0.000180993026933936
0.565771440816027,0.434228559183973,0.0374161332131717,0.0407948306143023,0.0053934846316779,0.00660633483247634
0.728043015856941,0.271956984143059,0.0239654858408356,0.0271670591028204,0.00366400448547964,0.00417791707432655
0.833644208611906,0.166355791388094,0.0319281263315039,0.0392348564277116,0.0047890282408667,0.00657940068443187
0.17385647650828,0.82614352349172,0.0367734462310709,0.0301270388261905,0.00571977200035236,0.00440511619564228
0.630093124970063,0.369906875029937,0.0308592971176467,0.0308967220617553,0.00795851720455455,0.00302185303830262
0.671637476625198,0.328362523374802,0.0122038451707745,0.0122125478140918,0.00310843612501398,0.00129565806553048
0.182746819912302,0.817253180087698,0.0183630309936547,0.0361152963524378,0.00625741050108202,0.011094350732676
0.618326524254903,0.381673475745097,0.00804311843068267,0.017949308819159,0.00394717221145673,0.00769592826985396
0.677227393680732,0.322772606319268,0.0413856985032601,0.0501059114624625,0.00591569330279201,0.0083136730464842
0.649237266349665,0.350762733650335,0.00792902053925085,0.00953377181206978,0.000982594181783268,0.00155178766537611
0.315285768580598,0.684714231419402,0.0508682254712382,0.043996129818808,0.0062609211615983,0.00451269614347497
0.64349896466965,0.35650103533035,0.0319360612635438,0.0376408635094448,0.00384066198287487,0.0054666684753865
0.592628216014624,0.407371783985376,0.0249228690241387,0.0295449670616543,0.00296884895989496,0.00426343403850873
0.695181933941684,0.304818066058316,0.0445180447830561,0.0536664819805253,0.00711778557446834,0.0095672365238293
0.647697852813184,0.352302147186816,0.0442602060681153,0.0528202322940157,0.00701508520069891,0.00932585351801303
0.999999999708592,2.9140782795772e-10,0.0380230012104613,0.041721900161264,0.00717726639684536,0.000523931647512099
0.524363379765635,0.475636620234365,0.0924105940832896,0.10286516758956,0.0127658050703463,0.0164076415842393
0.625450024458765,0.374549975541235,0.0781856151506835,0.0940345781593724,0.013756995724852,0.0173658878963194
0.706514229358607,0.293485770641393,0.0473556321380614,0.0576883775483703,0.00852871624805965,0.0108651937723673
0.528796022710341,0.471203977289659,0.0576903787932349,0.0724842462073443,0.0106580502705274,0.0139785451827022
0.597874476396882,0.402125523603118,0.0538261553893906,0.0678453549789943,0.00976230671642733,0.0126179275077826
0.39499202918735,0.60500797081265,0.0332861641072633,0.0578709148706211,0.0127827285552385,0.0203449295768777
0.576129950170972,0.423870049829028,0.00232078966002679,0.0034182313615659,0.000462808460205995,0.00091592131883414
0.425528116038346,0.574471883961654,0.0252436984761394,0.0338470230357384,0.00343738304989327,0.00624223765239105
0.171074216630622,0.828925783369378,0.0411741625538705,0.035077791545729,0.00695735294616049,0.00584386920583397
0.558240446462031,0.441759553537969,0.0281867315403292,0.0340757367815796,0.00490326563952745,0.00617800579225417
0.675392161850203,0.324607838149797,0.0234416932986083,0.0286070240293096,0.00461728020667723,0.00559195787653093
0.798949979280046,0.201050020719954,0.0368726161618498,0.0433349565202966,0.00721555582649184,0.00840653034542456
0.782288208747267,0.217711791252733,0.0381624843698206,0.0418246465168018,0.00440239000656283,0.00537502008977166
0.357118290205434,0.642881709794566,0.0714930915029273,0.0647237569121704,0.00854308724632167,0.00734976937565583
0.469515211864744,0.530484788135256,0.0489419914458992,0.0575427454779026,0.00692913768834241,0.00910294253874334
0.478356695441161,0.521643304558839,0.0266640378131296,0.0308032970049346,0.00364563785123815,0.00488415867659757
0.491500882261164,0.508499117738836,0.0461647826620737,0.0535953758825745,0.00617959417932526,0.00800319578396736
0.382259797834111,0.617740202165889,0.0513239674483858,0.0451879783531769,0.00718117367612762,0.00590744246855835
0.607715031766795,0.392284968233205,0.0360386923538393,0.0432882650722062,0.00508783267410974,0.00702781829095208
0.405071340149838,0.594928659850162,0.0347643343331658,0.028943407504422,0.00550410955700614,0.00401169406611861
0.331230534723815,0.668769465276185,0.0272907109509663,0.0442785701500779,0.007640669041916,0.0127209337934033
0.0366236555730391,0.963376344426961,0.0226653221602448,0.00649985305170082,0.0198057701287112,0.00294219989700008
0.902084158983455,0.0979158410165449,0.0199063122873729,0.0493490567463298,0.00749901764601344,0.0279332928347945
0.876403656074838,0.123596343925162,0.0367637432344842,0.0816902415593673,0.00831936069198723,0.0434636903621409
0.880661420749384,0.119338579250616,0.0208409656168222,0.0495241888709755,0.00484126248772605,0.0285829860179632
0.105066233161968,0.894933766838032,0.0668379014358029,0.0393699825242314,0.0235658779051856,0.00676590643911019
0.897527129571004,0.102472870428996,0.101058590017763,0.182340097464773,0.0176691916701106,0.0711368791598158
0.728945927384485,0.271054072615515,0.0280841616787275,0.0526146418402352,0.0105899594120593,0.0191453439745081
0.743526660383998,0.256473339616002,0.0598596150161623,0.11139893206394,0.0187384728539772,0.0394542220636399
0.90548717362563,0.0945128263743696,0.0922174034598303,0.134190907222486,0.0164420824701281,0.0339183117511753
0.129862383064876,0.870137616935124,0.062806375384218,0.0467101671370717,0.0155073465965883,0.00896614723629925
0.856452135611495,0.143547864388504,0.0322342305770721,0.0631559163099942,0.00912805294917796,0.0259427958350207
0.827147527196462,0.172852472803538,0.0511143034599928,0.0948036898240526,0.0126112994938175,0.0358704913035647
0.921669399410463,0.0783306005895367,0.0793040078663786,0.129418506743219,0.0188268255575823,0.0446195017748172
0.917926540497318,0.0820734595026824,0.0533211347612216,0.0913952972598596,0.0127440000680441,0.0343936953038012
0.956303633747901,0.0436963662520995,0.0660815992375973,0.158767129991124,0.029491374935104,0.0744895460771859
0.406243231320802,0.593756768679198,0.0104963532212784,0.0168175980533229,0.00294892182109989,0.00499623782637262
0.340769313409922,0.659230686590078,0.0125077198717844,0.0199928745818989,0.00330047744875966,0.00585912074261136
0.691706523868343,0.308293476131657,0.0213015956856265,0.0265090509871351,0.0040806808136074,0.00562345094436593
0.71358681685047,0.28641318314953,0.0273244547687765,0.0336274883747778,0.00515133944666232,0.00684207341034625
0.715979204383629,0.284020795616371,0.00537615549110936,0.00704651909853961,0.00108197576901099,0.00154425076351426
0.466463144167897,0.533536855832103,0.0526192120227509,0.0430919319447036,0.0103308042653247,0.00745298600468073
0.240706160780348,0.759293839219652,0.0511819845907728,0.044662391899609,0.00752392128932683,0.0058936289965963
0.804562370641913,0.195437629358086,0.069934466609082,0.0800510137741179,0.00849593810752395,0.0112970431798353
0.371691291633538,0.628308708366462,0.0186398178942657,0.0160287908652475,0.00323205065991517,0.0025077741518516
0.0285873570511241,0.971412642948876,0.0908085219214972,0.0689439075468151,0.00864057950067603,0.0101621078130923
0.658653145547763,0.341346854452237,0.0561482799004352,0.0644915083368006,0.00794549560359165,0.00963381978253209
0.667592613122383,0.332407386877617,0.05702532528095,0.0656725677351718,0.00780335502715243,0.00955809365848635
0.650548943399105,0.349451056600895,0.0585911924555863,0.0673990411799104,0.00980913922965,0.0111989930965649
0.838937058878359,0.161062941121641,0.0206590517912051,0.023966874652487,0.00362044622618122,0.00416112538028563
0.381184050716824,0.618815949283176,0.0390039725854547,0.0550599526759249,0.00964959140922698,0.0140122139105017
0.20576611575763,0.79423388424237,0.00262079706565966,0.00359977692408338,0.0004591433574963,0.000701302970203128
0.226487325086808,0.773512674913192,0.0436496210125635,0.0607495314998128,0.00779484921788966,0.0116483532528372
0.485054040834367,0.514945959165633,0.0420399353752391,0.0548799207372774,0.00854530435990893,0.0117643887961944
0.501912713726268,0.498087286273732,0.0569632296018662,0.0739766336440246,0.0113755360242504,0.0158968501752718
0.755184866425042,0.244815133574958,0.0202507365658654,0.0256681016923288,0.00370281398211687,0.00546750904414404
0.333011847442882,0.666988152557118,0.117274769970768,0.148714128723033,0.0185258267297067,0.0286058024394085
0.669704003642536,0.330295996357464,0.135485921745924,0.15355321647777,0.0165458528379067,0.0193185382564647
