state,year,age,numpop
35,2007,39,611305
35,2008,35,643932
35,2008,36,634117
35,2008,37,626654
35,2008,38,620165
35,2008,39,614210
35,2009,35,654753
35,2009,36,642936
35,2009,37,633499
35,2009,38,625676
35,2009,39,618638
35,2000,40,553454
35,2000,41,539336
35,2000,42,523812
35,2000,43,507270
35,2000,44,490122
35,2001,40,564893
35,2001,41,551202
35,2001,42,535926
35,2001,43,519519
35,2001,44,502493
35,2002,40,574027
35,2002,41,561338
35,2002,42,546794
35,2002,43,530992
35,2002,44,514554
35,2003,40,581749
35,2003,41,570067
35,2003,42,556509
35,2003,43,541617
35,2003,44,526047
35,2004,40,588356
35,2004,41,577898
35,2004,42,565486
35,2004,43,551636
35,2004,44,537245
35,2005,40,594368
35,2005,41,585112
35,2005,42,573929
35,2005,43,561298
35,2005,44,548108
35,2006,40,599910
35,2006,41,591652
35,2006,42,581635
35,2006,43,570300
35,2006,44,558235
35,2007,40,605218
35,2007,41,597608
35,2007,42,588515
35,2007,43,578283
35,2007,44,567377
35,2008,40,610456
35,2008,41,603056
35,2008,42,594547
35,2008,43,585202
35,2008,44,575381
35,2009,40,615657
35,2009,41,608007
35,2009,42,599680
35,2009,43,590960
35,2009,44,582065
35,2000,45,467184
35,2000,46,449791
35,2000,47,432179
35,2000,48,414354
35,2000,49,396282
35,2001,45,482686
35,2001,46,465492
35,2001,47,447873
35,2001,48,430080
35,2001,49,411947
35,2002,45,497691
35,2002,46,480852
35,2002,47,463809
35,2002,48,446431
35,2002,49,428539
35,2003,45,511911
35,2003,46,495812
35,2003,47,479509
35,2003,48,462776
35,2003,49,445313
35,2004,45,524939
35,2004,46,509813
35,2004,47,494303
35,2004,48,478359
35,2004,49,461429
35,2005,45,536485
35,2005,46,522461
35,2005,47,507965
35,2005,48,492703
35,2005,49,476313
35,2006,45,546734
35,2006,46,533856
35,2006,47,520367
35,2006,48,505877
35,2006,49,490048
35,2007,45,555597
35,2007,46,543914
35,2007,47,531497
35,2007,48,517873
35,2007,49,502688
35,2008,45,563199
35,2008,46,552772
35,2008,47,541533
35,2008,48,528917
35,2008,49,514518
35,2009,45,569891
35,2009,46,560744
35,2009,47,550784
35,2009,48,539334
35,2009,49,525902
35,2000,50,380553
35,2000,51,361847
35,2000,52,342958
35,2000,53,324187
35,2000,54,306064
35,2001,50,396986
35,2001,51,378010
35,2001,52,358570
35,2001,53,338925
35,2001,54,320023
35,2002,50,412259
35,2002,51,393082
35,2002,52,373503
35,2002,53,353895
35,2002,54,334796
35,2003,50,426658
35,2003,51,407640
35,2003,52,388286
35,2003,53,368965
35,2003,54,350070
35,2004,50,441013
35,2004,51,422222
35,2004,52,403297
35,2004,53,384311
35,2004,54,365826
35,2005,50,455711
35,2005,51,437327
35,2005,52,418644
35,2005,53,400061
35,2005,54,381827
35,2006,50,470857
35,2006,51,452683
35,2006,52,434244
35,2006,53,415885
35,2006,54,397872
35,2007,50,486354
35,2007,51,468430
35,2007,52,450040
35,2007,53,431761
35,2007,54,413884
35,2008,50,501567
35,2008,51,483924
35,2008,52,465645
35,2008,53,447421
35,2008,54,429638
35,2009,50,515555
35,2009,51,498423
35,2009,52,480449
35,2009,53,462389
35,2009,54,444742
35,2000,55,286086
35,2000,56,270420
35,2000,57,256161
35,2000,58,243435
35,2000,59,232345
35,2001,55,299275
35,2001,56,282741
35,2001,57,267506
35,2001,58,253702
35,2001,59,241485
35,2002,55,314850
35,2002,56,297600
35,2002,57,281333
35,2002,58,266178
35,2002,59,252369
35,2003,55,331824
35,2003,56,314075
35,2003,57,296856
35,2003,58,280283
35,2003,59,264684
35,2004,55,348866
35,2004,56,330836
35,2004,57,312873
35,2004,58,295047
35,2004,59,277746
35,2005,55,365140
35,2005,56,347048
35,2005,57,328634
35,2005,58,309890
35,2005,59,291220
35,2006,55,380675
35,2006,56,362689
35,2006,57,344120
35,2006,58,324854
35,2006,59,305261
35,2007,55,395349
35,2007,56,377602
35,2007,57,359146
35,2007,58,339740
35,2007,59,319685
35,2008,55,409489
35,2008,56,392043
35,2008,57,373910
35,2008,58,354626
35,2008,59,334534
35,2009,55,423586
35,2009,56,406504
35,2009,57,388763
35,2009,58,369892
35,2009,59,349917
35,2000,60,229488
35,2000,61,220702
35,2000,62,213227
35,2000,63,206515
35,2000,64,199852
35,2001,60,234690
35,2001,61,225481
35,2001,62,217724
35,2001,63,210952
35,2001,64,204357
35,2002,60,240697
35,2002,61,230264
35,2002,62,221577
35,2002,63,214193
35,2002,64,207271
35,2003,60,248144
35,2003,61,235971
35,2003,62,225797
35,2003,63,217314
35,2003,64,209714
35,2004,60,257950
35,2004,61,243800
35,2004,62,231797
35,2004,63,221870
35,2004,64,213368
35,2005,60,270431
35,2005,61,254353
35,2005,62,240384
35,2005,63,228793
35,2005,64,219157
35,2006,60,284826
35,2006,61,267225
35,2006,62,251273
35,2006,63,237979
35,2006,64,227048
35,2007,60,300874
35,2007,61,281950
35,2007,62,264465
35,2007,63,249646
35,2007,64,237351
35,2008,60,317747
35,2008,61,297723
35,2008,62,279281
35,2008,63,263225
35,2008,64,249591
35,2009,60,334331
35,2009,61,313800
35,2009,62,294642
35,2009,63,277579
35,2009,64,262677
35,2000,65,186240
35,2000,66,178123
35,2000,67,168946
35,2000,68,159194
35,2000,69,149617
35,2001,65,191926
35,2001,66,183594
35,2001,67,173906
35,2001,68,163390
35,2001,69,153078
35,2002,65,198248
35,2002,66,189734
35,2002,67,179724
35,2002,68,168703
35,2002,69,157903
35,2003,65,204771
35,2003,66,196189
35,2003,67,186007
35,2003,68,174645
35,2003,69,163253
35,2004,65,211035
35,2004,66,202091
35,2004,67,191798
35,2004,68,180306
35,2004,69,168643
35,2005,65,216516
35,2005,66,207256
35,2005,67,196896
35,2005,68,185434
35,2005,69,173744
35,2006,65,221733
35,2006,66,212018
35,2006,67,201517
35,2006,68,190084
35,2006,69,178437
35,2007,65,226818
35,2007,66,216494
35,2007,67,205641
35,2007,68,194062
35,2007,69,182364
35,2008,65,232963
35,2008,66,221715
35,2008,67,210150
35,2008,68,198077
35,2008,69,186043
35,2009,65,241545
35,2009,66,229002
35,2009,67,216309
35,2009,68,203308
35,2009,69,190529
35,2000,70,146045
35,2000,71,139391
35,2000,72,134803
35,2000,73,131513
35,2000,74,128297
35,2001,70,145493
35,2001,71,138788
35,2001,72,134823
35,2001,73,132285
35,2001,74,130094
35,2002,70,146768
35,2002,71,139618
35,2002,72,135571
35,2002,73,133603
35,2002,74,131894
35,2003,70,149391
35,2003,71,142131
35,2003,72,137925
35,2003,73,135996
35,2003,74,134211
35,2004,70,153194
35,2004,71,145648
35,2004,72,141064
35,2004,73,138670
35,2004,74,136536
35,2005,70,158161
35,2005,71,150257
35,2005,72,145107
35,2005,73,142015
35,2005,74,139189
35,2006,70,164045
35,2006,71,155764
35,2006,72,149939
35,2006,73,146011
35,2006,74,142316
35,2007,70,170772
35,2007,71,162142
35,2007,72,155528
35,2007,73,150787
35,2007,74,146249
35,2008,70,177853
35,2008,71,168483
35,2008,72,161411
35,2008,73,156073
35,2008,74,150900
35,2009,70,184323
35,2009,71,174423
35,2009,72,166931
35,2009,73,161212
35,2009,74,155662
35,2000,75,122297
35,2000,76,114723
35,2000,77,103511
35,2000,78,88811
35,2000,79,71605
35,2001,75,131566
35,2001,76,123839
35,2001,77,111612
35,2001,78,95230
35,2001,79,75699
35,2002,75,135233
35,2002,76,127227
35,2002,77,114135
35,2002,78,97283
35,2002,79,76635
35,2003,75,135974
35,2003,76,127439
35,2003,77,114769
35,2003,78,97180
35,2003,79,76085
35,2004,75,136394
35,2004,76,127851
35,2004,77,114459
35,2004,78,96536
35,2004,79,75453
35,2005,75,137446
35,2005,76,128347
35,2005,77,114155
35,2005,78,96251
35,2005,79,75438
35,2006,75,138923
35,2006,76,129216
35,2006,77,114915
35,2006,78,96526
35,2006,79,76083
35,2007,75,141032
35,2007,76,130577
35,2007,77,116233
35,2007,78,97912
35,2007,79,77524
35,2008,75,144114
35,2008,76,133383
35,2008,77,118500
35,2008,78,100063
35,2008,79,79738
35,2009,75,147700
35,2009,76,136672
35,2009,77,121315
35,2009,78,102830
35,2009,79,82405
35,2000,80,50087
35,2000,81,34445
35,2000,82,21752
35,2000,83,13004
35,2000,84,8266
35,2000,85,6875
35,2000,86,7643
35,2000,87,9208
35,2000,88,10469
35,2000,89,10856
35,2000,90,10378
35,2000,91,9487
35,2000,92,8800
35,2000,93,8798
35,2000,94,9593
35,2000,95,10814
35,2000,96,11945
35,2000,97,12231
35,2000,98,10957
35,2000,99,7687
35,2001,80,50539
35,2001,81,33143
35,2001,82,19537
35,2001,83,10797
35,2001,84,6702
35,2001,85,6485
35,2001,86,8627
35,2001,87,11358
35,2001,88,13329
35,2001,89,13918
35,2001,90,13222
35,2001,91,11899
35,2001,92,10828
35,2001,93,10686
