state,Year,Age,hospitalization,numcase
13,2005,25,nonhosp,8
13,2005,26,hosp,1
13,2005,26,nonhosp,6
13,2005,27,nonhosp,3
13,2005,28,hosp,2
13,2005,28,nonhosp,11
13,2005,29,hosp,1
13,2005,29,nonhosp,8
13,2005,30,hosp,1
13,2005,30,nonhosp,3
13,2005,31,hosp,1
13,2005,31,nonhosp,16
13,2005,32,hosp,4
13,2005,32,nonhosp,8
13,2005,33,hosp,1
13,2005,33,nonhosp,5
13,2005,34,hosp,1
13,2005,34,nonhosp,10
13,2005,35,nonhosp,6
13,2005,36,hosp,2
13,2005,36,nonhosp,5
13,2005,37,hosp,1
13,2005,37,nonhosp,8
13,2005,38,hosp,1
13,2005,38,nonhosp,12
13,2005,39,nonhosp,5
13,2005,40,hosp,3
13,2005,40,nonhosp,9
13,2005,41,hosp,1
13,2005,41,nonhosp,6
13,2005,42,hosp,1
13,2005,42,nonhosp,7
13,2005,43,hosp,2
13,2005,43,nonhosp,8
13,2005,44,nonhosp,6
13,2005,45,nonhosp,5
13,2005,46,hosp,1
13,2005,46,nonhosp,14
13,2005,47,hosp,1
13,2005,47,nonhosp,3
13,2005,48,nonhosp,6
13,2005,49,nonhosp,5
13,2005,50,nonhosp,4
13,2005,51,nonhosp,7
13,2005,52,hosp,1
13,2005,52,nonhosp,2
13,2005,53,nonhosp,3
13,2005,54,nonhosp,3
13,2005,55,hosp,1
13,2005,55,nonhosp,2
13,2005,56,nonhosp,1
13,2005,57,hosp,1
13,2005,57,nonhosp,4
13,2005,58,nonhosp,6
13,2005,59,nonhosp,1
13,2005,61,hosp,1
13,2005,61,nonhosp,2
13,2005,62,nonhosp,2
13,2005,64,hosp,1
13,2005,64,nonhosp,2
13,2005,65,nonhosp,4
13,2005,66,hosp,1
13,2005,67,nonhosp,3
13,2005,68,nonhosp,1
13,2005,69,nonhosp,2
13,2005,70,nonhosp,1
13,2005,72,hosp,1
13,2005,72,nonhosp,1
13,2005,74,nonhosp,1
13,2005,76,nonhosp,3
13,2005,77,hosp,1
13,2005,78,nonhosp,1
13,2005,85,hosp,1
13,2005,86,nonhosp,1
13,2006,2,hosp,3
13,2006,2,nonhosp,21
13,2006,3,hosp,4
13,2006,3,nonhosp,17
13,2006,4,hosp,4
13,2006,4,nonhosp,23
13,2006,5,hosp,5
13,2006,5,nonhosp,27
13,2006,6,hosp,3
13,2006,6,nonhosp,27
13,2006,7,hosp,6
13,2006,7,nonhosp,18
13,2006,8,hosp,2
13,2006,8,nonhosp,20
13,2006,9,hosp,7
13,2006,9,nonhosp,19
13,2006,10,hosp,3
13,2006,10,nonhosp,25
13,2006,11,hosp,5
13,2006,11,nonhosp,18
13,2006,12,hosp,6
13,2006,12,nonhosp,17
13,2006,13,hosp,1
13,2006,13,nonhosp,23
13,2006,14,hosp,2
13,2006,14,nonhosp,14
13,2006,15,hosp,1
13,2006,15,nonhosp,8
13,2006,16,hosp,1
13,2006,16,nonhosp,6
13,2006,17,nonhosp,6
13,2006,18,nonhosp,7
13,2006,19,hosp,1
13,2006,19,nonhosp,9
13,2006,20,hosp,1
13,2006,20,nonhosp,8
13,2006,21,hosp,1
13,2006,21,nonhosp,12
13,2006,22,hosp,2
13,2006,22,nonhosp,9
13,2006,23,hosp,2
13,2006,23,nonhosp,9
13,2006,24,nonhosp,9
13,2006,25,nonhosp,8
13,2006,26,nonhosp,6
13,2006,27,hosp,1
13,2006,27,nonhosp,6
13,2006,28,hosp,2
13,2006,28,nonhosp,4
13,2006,29,nonhosp,8
13,2006,30,hosp,1
13,2006,30,nonhosp,7
13,2006,31,nonhosp,5
13,2006,32,nonhosp,6
13,2006,33,hosp,2
13,2006,33,nonhosp,6
13,2006,34,hosp,1
13,2006,34,nonhosp,6
13,2006,35,nonhosp,9
13,2006,36,hosp,2
13,2006,36,nonhosp,4
13,2006,37,hosp,1
13,2006,37,nonhosp,3
13,2006,38,hosp,1
13,2006,38,nonhosp,7
13,2006,39,nonhosp,5
13,2006,40,hosp,1
13,2006,40,nonhosp,4
13,2006,41,nonhosp,6
13,2006,42,nonhosp,3
13,2006,43,hosp,1
13,2006,43,nonhosp,4
13,2006,44,nonhosp,2
13,2006,45,nonhosp,5
13,2006,46,nonhosp,1
13,2006,47,nonhosp,6
13,2006,48,nonhosp,3
13,2006,49,nonhosp,4
13,2006,50,hosp,1
13,2006,50,nonhosp,7
13,2006,51,nonhosp,4
13,2006,52,nonhosp,5
13,2006,53,hosp,1
13,2006,53,nonhosp,2
13,2006,54,nonhosp,3
13,2006,55,nonhosp,1
13,2006,56,hosp,2
13,2006,56,nonhosp,2
13,2006,58,nonhosp,2
13,2006,59,nonhosp,3
13,2006,60,hosp,1
13,2006,61,nonhosp,2
13,2006,62,nonhosp,2
13,2006,63,nonhosp,1
13,2006,64,nonhosp,1
13,2006,66,nonhosp,2
13,2006,67,nonhosp,3
13,2006,69,nonhosp,2
13,2006,70,nonhosp,1
13,2006,74,hosp,1
13,2006,75,nonhosp,1
13,2006,77,hosp,1
13,2006,79,nonhosp,3
13,2006,87,hosp,1
13,2007,2,hosp,3
13,2007,3,hosp,4
13,2007,4,hosp,6
13,2007,4,nonhosp,1
13,2007,5,hosp,4
13,2007,5,nonhosp,1
13,2007,6,hosp,5
13,2007,7,hosp,10
13,2007,8,hosp,7
13,2007,9,hosp,12
13,2007,9,nonhosp,1
13,2007,10,hosp,12
13,2007,10,nonhosp,1
13,2007,11,hosp,9
13,2007,11,nonhosp,1
13,2007,12,hosp,10
13,2007,13,hosp,9
13,2007,14,hosp,5
13,2007,15,hosp,5
13,2007,15,nonhosp,1
13,2007,16,hosp,1
13,2007,16,nonhosp,1
13,2007,17,hosp,3
13,2007,18,hosp,2
13,2007,19,hosp,2
13,2007,21,hosp,1
13,2007,22,hosp,1
13,2007,23,hosp,3
13,2007,24,nonhosp,1
13,2007,25,hosp,3
13,2007,26,hosp,2
13,2007,27,hosp,1
13,2007,27,nonhosp,1
13,2007,28,hosp,1
13,2007,29,hosp,1
13,2007,30,nonhosp,1
13,2007,32,hosp,1
13,2007,33,hosp,1
13,2007,35,hosp,2
13,2007,36,hosp,1
13,2007,37,hosp,1
13,2007,39,hosp,3
13,2007,39,nonhosp,1
13,2007,40,hosp,2
13,2007,41,hosp,1
13,2007,42,hosp,1
13,2007,42,nonhosp,1
13,2007,43,hosp,1
13,2007,44,hosp,1
13,2007,46,hosp,1
13,2007,50,hosp,1
13,2007,51,hosp,2
13,2007,53,hosp,1
13,2007,55,hosp,1
13,2007,57,hosp,1
13,2007,66,hosp,1
13,2008,2,hosp,3
13,2008,2,nonhosp,1
13,2008,3,hosp,7
13,2008,4,hosp,4
13,2008,5,hosp,7
13,2008,5,nonhosp,5
13,2008,6,hosp,13
13,2008,6,nonhosp,1
13,2008,7,hosp,14
13,2008,7,nonhosp,2
13,2008,8,hosp,18
13,2008,8,nonhosp,1
13,2008,9,hosp,13
13,2008,10,hosp,22
13,2008,10,nonhosp,2
13,2008,11,hosp,12
13,2008,11,nonhosp,5
13,2008,12,hosp,23
13,2008,13,hosp,17
13,2008,13,nonhosp,3
13,2008,14,hosp,21
13,2008,14,nonhosp,4
13,2008,15,hosp,6
13,2008,15,nonhosp,1
13,2008,16,hosp,4
13,2008,16,nonhosp,1
13,2008,17,hosp,10
13,2008,17,nonhosp,2
13,2008,18,hosp,3
13,2008,18,nonhosp,2
13,2008,19,hosp,4
13,2008,19,nonhosp,1
13,2008,20,hosp,11
13,2008,20,nonhosp,3
13,2008,21,hosp,1
13,2008,21,nonhosp,4
13,2008,22,hosp,5
13,2008,23,hosp,6
13,2008,23,nonhosp,3
13,2008,24,hosp,3
13,2008,24,nonhosp,1
13,2008,25,hosp,4
13,2008,25,nonhosp,4
13,2008,26,hosp,8
13,2008,26,nonhosp,9
13,2008,27,hosp,7
13,2008,27,nonhosp,3
13,2008,28,hosp,9
13,2008,28,nonhosp,2
13,2008,29,hosp,5
13,2008,29,nonhosp,1
13,2008,30,hosp,12
13,2008,30,nonhosp,5
13,2008,31,hosp,5
13,2008,31,nonhosp,2
13,2008,32,hosp,8
13,2008,32,nonhosp,1
13,2008,33,hosp,4
13,2008,33,nonhosp,2
13,2008,34,hosp,4
13,2008,35,hosp,1
13,2008,35,nonhosp,2
13,2008,36,hosp,6
13,2008,36,nonhosp,3
13,2008,37,hosp,5
13,2008,37,nonhosp,3
13,2008,38,hosp,2
13,2008,38,nonhosp,1
13,2008,39,hosp,2
13,2008,39,nonhosp,1
13,2008,40,hosp,7
13,2008,41,hosp,4
13,2008,41,nonhosp,1
13,2008,42,hosp,4
13,2008,42,nonhosp,1
13,2008,43,hosp,5
13,2008,44,hosp,3
13,2008,45,hosp,1
13,2008,46,hosp,2
13,2008,46,nonhosp,1
13,2008,47,hosp,5
13,2008,47,nonhosp,1
13,2008,48,nonhosp,5
13,2008,49,hosp,2
13,2008,50,hosp,4
13,2008,51,hosp,2
13,2008,52,hosp,2
13,2008,52,nonhosp,1
13,2008,53,hosp,3
13,2008,55,hosp,2
13,2008,56,hosp,1
13,2008,56,nonhosp,2
13,2008,57,hosp,1
13,2008,58,hosp,1
13,2008,59,hosp,1
13,2008,60,hosp,1
13,2008,60,nonhosp,2
13,2008,61,hosp,3
13,2008,64,hosp,1
13,2008,65,hosp,1
13,2008,65,nonhosp,1
13,2008,66,hosp,2
13,2008,69,hosp,1
13,2008,74,hosp,1
13,2008,74,nonhosp,1
13,2008,75,nonhosp,1
13,2008,77,hosp,2
13,2009,1,nonhosp,3
13,2009,2,hosp,1
13,2009,3,hosp,1
13,2009,3,nonhosp,1
13,2009,4,hosp,2
13,2009,5,nonhosp,1
13,2009,6,hosp,4
13,2009,7,hosp,4
13,2009,7,nonhosp,1
13,2009,8,hosp,7
13,2009,8,nonhosp,1
13,2009,9,hosp,4
13,2009,9,nonhosp,1
13,2009,10,hosp,2
13,2009,11,hosp,2
13,2009,11,nonhosp,3
13,2009,12,hosp,1
13,2009,12,nonhosp,1
13,2009,13,hosp,2
13,2009,13,nonhosp,6
13,2009,14,hosp,6
13,2009,15,hosp,1
13,2009,15,nonhosp,1
13,2009,16,hosp,3
13,2009,16,nonhosp,2
13,2009,17,hosp,2
13,2009,18,hosp,1
13,2009,18,nonhosp,3
13,2009,19,hosp,4
13,2009,19,nonhosp,5
13,2009,20,nonhosp,6
13,2009,21,hosp,2
13,2009,22,hosp,3
13,2009,22,nonhosp,4
13,2009,23,hosp,3
13,2009,23,nonhosp,1
13,2009,24,hosp,1
13,2009,24,nonhosp,1
13,2009,26,hosp,1
13,2009,27,hosp,2
13,2009,27,nonhosp,1
13,2009,28,nonhosp,1
13,2009,29,hosp,3
13,2009,29,nonhosp,1
13,2009,30,hosp,4
13,2009,33,hosp,1
13,2009,34,hosp,1
13,2009,34,nonhosp,1
13,2009,35,hosp,1
13,2009,35,nonhosp,1
13,2009,36,hosp,1
13,2009,38,hosp,3
13,2009,40,hosp,3
13,2009,40,nonhosp,1
13,2009,41,hosp,1
13,2009,41,nonhosp,1
13,2009,42,hosp,1
13,2009,43,hosp,3
13,2009,44,hosp,13
13,2009,45,hosp,2
13,2009,46,hosp,2
13,2009,47,hosp,1
13,2009,47,nonhosp,6
13,2009,49,nonhosp,3
13,2009,50,hosp,1
13,2009,52,hosp,1
13,2009,53,nonhosp,3
13,2009,55,hosp,1
13,2009,56,hosp,1
13,2009,56,nonhosp,1
13,2009,57,hosp,1
13,2009,58,hosp,2
13,2009,59,hosp,1
13,2009,59,nonhosp,1
13,2009,62,hosp,2
13,2009,69,hosp,2
13,2009,69,nonhosp,1
13,2009,83,hosp,1
13,2010,1,nonhosp,2
13,2010,2,hosp,3
13,2010,2,nonhosp,65
13,2010,3,hosp,10
13,2010,3,nonhosp,41
13,2010,4,hosp,7
13,2010,4,nonhosp,56
13,2010,5,hosp,9
13,2010,5,nonhosp,86
13,2010,6,hosp,19
13,2010,6,nonhosp,81
13,2010,7,hosp,25
13,2010,7,nonhosp,118
13,2010,8,hosp,34
13,2010,8,nonhosp,122
13,2010,9,hosp,26
13,2010,9,nonhosp,127
13,2010,10,hosp,32
13,2010,10,nonhosp,132
13,2010,11,hosp,19
13,2010,11,nonhosp,117
13,2010,12,hosp,29
13,2010,12,nonhosp,110
13,2010,13,hosp,18
13,2010,13,nonhosp,113
13,2010,14,hosp,17
13,2010,14,nonhosp,112
13,2010,15,hosp,10
13,2010,15,nonhosp,119
13,2010,16,hosp,8
13,2010,16,nonhosp,79
13,2010,17,hosp,9
13,2010,17,nonhosp,89
13,2010,18,hosp,9
13,2010,18,nonhosp,118
13,2010,19,hosp,8
13,2010,19,nonhosp,99
13,2010,20,hosp,11
13,2010,20,nonhosp,80
13,2010,21,hosp,7
13,2010,21,nonhosp,87
13,2010,22,hosp,10
13,2010,22,nonhosp,69
13,2010,23,hosp,10
13,2010,23,nonhosp,72
