state,Year,Age,severe,numcase
21,2005,64,Mild,25
21,2005,65,Mild,30
21,2005,66,Mild,16
21,2005,66,Severe,1
21,2005,67,Mild,15
21,2005,68,Mild,20
21,2005,69,Mild,15
21,2005,70,Mild,12
21,2005,71,Mild,15
21,2005,72,Mild,12
21,2005,73,Mild,7
21,2005,74,Mild,10
21,2005,75,Mild,6
21,2005,76,Mild,7
21,2005,77,Mild,8
21,2005,77,Severe,1
21,2005,78,Mild,8
21,2005,79,Mild,7
21,2005,79,Severe,2
21,2005,80,Mild,5
21,2005,80,Severe,1
21,2005,81,Mild,6
21,2005,82,Mild,2
21,2005,84,Mild,4
21,2005,85,Mild,6
21,2005,86,Mild,1
21,2005,87,Mild,3
21,2005,88,Mild,1
21,2005,89,Mild,3
21,2005,91,Mild,1
21,2005,98,Mild,1
21,2005,99,Mild,1
21,2006,2,Mild,35
21,2006,2,Severe,12
21,2006,3,Mild,47
21,2006,3,Severe,18
21,2006,4,Mild,56
21,2006,4,Severe,34
21,2006,5,Mild,60
21,2006,5,Severe,30
21,2006,6,Mild,38
21,2006,6,Severe,33
21,2006,7,Mild,56
21,2006,7,Severe,15
21,2006,8,Mild,44
21,2006,8,Severe,18
21,2006,9,Mild,50
21,2006,9,Severe,5
21,2006,10,Mild,56
21,2006,10,Severe,6
21,2006,11,Mild,43
21,2006,11,Severe,8
21,2006,12,Mild,53
21,2006,12,Severe,2
21,2006,13,Mild,65
21,2006,14,Mild,73
21,2006,15,Mild,70
21,2006,15,Severe,2
21,2006,16,Mild,83
21,2006,16,Severe,3
21,2006,17,Mild,91
21,2006,17,Severe,4
21,2006,18,Mild,90
21,2006,18,Severe,3
21,2006,19,Mild,93
21,2006,19,Severe,3
21,2006,20,Mild,91
21,2006,20,Severe,2
21,2006,21,Mild,64
21,2006,21,Severe,2
21,2006,22,Mild,91
21,2006,22,Severe,2
21,2006,23,Mild,98
21,2006,23,Severe,3
21,2006,24,Mild,80
21,2006,24,Severe,2
21,2006,25,Mild,65
21,2006,25,Severe,2
21,2006,26,Mild,91
21,2006,26,Severe,3
21,2006,27,Mild,66
21,2006,27,Severe,3
21,2006,28,Mild,61
21,2006,28,Severe,4
21,2006,29,Mild,49
21,2006,29,Severe,3
21,2006,30,Mild,47
21,2006,30,Severe,5
21,2006,31,Mild,67
21,2006,31,Severe,1
21,2006,32,Mild,53
21,2006,32,Severe,3
21,2006,33,Mild,72
21,2006,33,Severe,2
21,2006,34,Mild,45
21,2006,34,Severe,1
21,2006,35,Mild,59
21,2006,35,Severe,1
21,2006,36,Mild,42
21,2006,36,Severe,5
21,2006,37,Mild,51
21,2006,37,Severe,1
21,2006,38,Mild,40
21,2006,38,Severe,1
21,2006,39,Mild,47
21,2006,40,Mild,42
21,2006,41,Mild,53
21,2006,41,Severe,1
21,2006,42,Mild,44
21,2006,42,Severe,3
21,2006,43,Mild,45
21,2006,43,Severe,1
21,2006,44,Mild,34
21,2006,44,Severe,1
21,2006,45,Mild,35
21,2006,46,Mild,31
21,2006,46,Severe,2
21,2006,47,Mild,37
21,2006,47,Severe,2
21,2006,48,Mild,41
21,2006,48,Severe,3
21,2006,49,Mild,37
21,2006,49,Severe,1
21,2006,50,Mild,28
21,2006,50,Severe,1
21,2006,51,Mild,38
21,2006,51,Severe,4
21,2006,52,Mild,37
21,2006,52,Severe,3
21,2006,53,Mild,44
21,2006,53,Severe,2
21,2006,54,Mild,24
21,2006,55,Mild,33
21,2006,55,Severe,1
21,2006,56,Mild,29
21,2006,56,Severe,1
21,2006,57,Mild,30
21,2006,57,Severe,1
21,2006,58,Mild,18
21,2006,58,Severe,1
21,2006,59,Mild,27
21,2006,59,Severe,1
21,2006,60,Mild,23
21,2006,61,Mild,21
21,2006,61,Severe,1
21,2006,62,Mild,11
21,2006,62,Severe,2
21,2006,63,Mild,25
21,2006,63,Severe,1
21,2006,64,Mild,22
21,2006,65,Mild,15
21,2006,65,Severe,1
21,2006,66,Mild,7
21,2006,67,Mild,8
21,2006,68,Mild,11
21,2006,69,Mild,10
21,2006,69,Severe,3
21,2006,70,Mild,9
21,2006,71,Mild,9
21,2006,72,Mild,9
21,2006,73,Mild,6
21,2006,73,Severe,1
21,2006,74,Mild,4
21,2006,75,Mild,11
21,2006,76,Mild,12
21,2006,77,Mild,7
21,2006,78,Mild,3
21,2006,79,Mild,4
21,2006,81,Mild,1
21,2006,82,Mild,2
21,2006,83,Mild,1
21,2006,84,Mild,3
21,2006,84,Severe,1
21,2006,85,Mild,5
21,2006,86,Mild,3
21,2006,87,Mild,3
21,2006,90,Mild,1
21,2007,2,Mild,127
21,2007,2,Severe,33
21,2007,3,Mild,166
21,2007,3,Severe,51
21,2007,4,Mild,217
21,2007,4,Severe,58
21,2007,5,Mild,258
21,2007,5,Severe,87
21,2007,6,Mild,265
21,2007,6,Severe,65
21,2007,7,Mild,269
21,2007,7,Severe,47
21,2007,8,Mild,192
21,2007,8,Severe,51
21,2007,9,Mild,209
21,2007,9,Severe,22
21,2007,10,Mild,239
21,2007,10,Severe,19
21,2007,11,Mild,223
21,2007,11,Severe,15
21,2007,12,Mild,215
21,2007,12,Severe,12
21,2007,13,Mild,203
21,2007,13,Severe,10
21,2007,14,Mild,208
21,2007,14,Severe,7
21,2007,15,Mild,200
21,2007,15,Severe,9
21,2007,16,Mild,207
21,2007,16,Severe,3
21,2007,17,Mild,216
21,2007,17,Severe,4
21,2007,18,Mild,228
21,2007,18,Severe,4
21,2007,19,Mild,280
21,2007,19,Severe,5
21,2007,20,Mild,223
21,2007,20,Severe,3
21,2007,21,Mild,210
21,2007,21,Severe,3
21,2007,22,Mild,240
21,2007,22,Severe,4
21,2007,23,Mild,203
21,2007,24,Mild,245
21,2007,24,Severe,1
21,2007,25,Mild,193
21,2007,25,Severe,1
21,2007,26,Mild,191
21,2007,26,Severe,3
21,2007,27,Mild,199
21,2007,27,Severe,3
21,2007,28,Mild,174
21,2007,28,Severe,2
21,2007,29,Mild,183
21,2007,29,Severe,2
21,2007,30,Mild,153
21,2007,30,Severe,2
21,2007,31,Mild,137
21,2007,31,Severe,4
21,2007,32,Mild,151
21,2007,32,Severe,3
21,2007,33,Mild,164
21,2007,33,Severe,4
21,2007,34,Mild,139
21,2007,34,Severe,3
21,2007,35,Mild,130
21,2007,35,Severe,5
21,2007,36,Mild,131
21,2007,36,Severe,2
21,2007,37,Mild,116
21,2007,37,Severe,2
21,2007,38,Mild,113
21,2007,38,Severe,3
21,2007,39,Mild,98
21,2007,39,Severe,4
